f1,params,precision,recall,false_positives,false_negatives,true_positives,true_negatives
1.6233766233739883e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",1.1337868480712769e-12,2.8571428571346942e-12,882,350,0,1529143
0.004640371231237989,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.003181336162244771,0.008571428574261224,940,347,3,1529085
0.003316749587059177,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.002336448599296336,0.005714285717126531,854,348,2,1529171
0.004834810638187212,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0033670033681219226,0.008571428574261224,888,347,3,1529137
0.0016129032274167538,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0011235955067403108,0.002857142859991837,889,349,1,1529136
0.0014727540515442228,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0009920634930545714,0.002857142859991837,1007,349,1,1529018
0.0015337423328197334,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.001048218030397224,0.002857142859991837,953,349,1,1529072
0.0015396458829845425,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0010537407808208076,0.002857142859991837,948,349,1,1529077
0.0015491866785413647,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0010626992571720908,0.002857142859991837,940,349,1,1529085
1.4925373134306082e-12,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",1.0101010100999899e-12,2.8571428571346942e-12,990,350,0,1529035
0.0014936519805802933,"{'window_step': 3, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0010111223468139423,0.002857142859991837,988,349,1,1529037
1.5302218821705737e-12,"{'window_step': 1, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",1.0449320794137461e-12,2.8571428571346942e-12,957,350,0,1529068
0.0015302218837007955,"{'window_step': 5, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0010449320804586783,0.002857142859991837,956,349,1,1529069
0.0014367816106301196,"{'window_step': 2, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0009596928992313248,0.002857142859991837,1041,349,1,1528984
0.0015082956274487056,"{'window_step': 8, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0010245901649579667,0.002857142859991837,975,349,1,1529050
0.001749781279087052,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0012610340491787378,0.002857142859991837,792,349,1,1529233
1.8248175182448458e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3404825737247448e-12,2.8571428571346942e-12,746,350,0,1529279
1.4684287812019554e-12,"{'window_step': 3, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",9.881422924891423e-13,2.8571428571346942e-12,1012,350,0,1529013
0.0056022408982154956,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.004160887657414479,0.008571428574261224,718,347,3,1529307
0.0015810276695627178,"{'window_step': 2, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0010928961759550898,0.002857142859991837,914,349,1,1529111
1.5174506828505046e-12,"{'window_step': 1, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",1.0330578512386022e-12,2.8571428571346942e-12,968,350,0,1529057
0.0029239766096448485,"{'window_step': 5, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.001964636543220074,0.005714285717126531,1016,348,2,1529009
1.5071590052727853e-12,"{'window_step': 8, 'shingle_size': 6, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",1.0235414534278164e-12,2.8571428571346942e-12,977,350,0,1529048
0.0029695619910869047,"{'window_step': 1, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0020060180551634845,0.005714285717126531,995,348,2,1529030
1.4492753623167405e-12,"{'window_step': 2, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",9.708737864068245e-13,2.8571428571346942e-12,1030,350,0,1528995
0.0014981273423198532,"{'window_step': 3, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.001015228427410137,0.002857142859991837,984,349,1,1529041
1.4936519790866413e-12,"{'window_step': 5, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",1.01112234580282e-12,2.8571428571346942e-12,989,350,0,1529036
0.0031055900636597746,"{'window_step': 8, 'shingle_size': 7, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0021321961631107335,0.005714285717126531,936,348,2,1529089
0.001749781279087052,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0012610340491787378,0.002857142859991837,792,349,1,1529233
0.003561887802308883,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0025873221228944537,0.005714285717126531,771,348,2,1529254
1.7559262510943709e-12,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.2674271229388246e-12,2.8571428571346942e-12,789,350,0,1529236
1.8034265103664503e-12,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3175230566517557e-12,2.8571428571346942e-12,759,350,0,1529266
0.001848428837334846,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.001366120219943489,0.002857142859991837,731,349,1,1529294
0.0017889087674386604,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0013020833346337214,0.002857142859991837,767,349,1,1529258
1.7605633802785905e-12,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.2722646310416385e-12,2.8571428571346942e-12,786,350,0,1529239
0.0018399264047804238,"{'window_step': 1, 'shingle_size': 5, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.001356852104475771,0.002857142859991837,736,349,1,1529289
1.7667844522936981e-12,"{'window_step': 2, 'shingle_size': 5, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.2787723785149889e-12,2.8571428571346942e-12,782,350,0,1529243
0.0035366931936276986,"{'window_step': 8, 'shingle_size': 5, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.002560819463505044,0.005714285717126531,779,348,2,1529246
0.0035242290766457724,"{'window_step': 3, 'shingle_size': 5, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0025477707019075824,0.005714285717126531,783,348,2,1529242
1.8181818181785124e-12,"{'window_step': 5, 'shingle_size': 5, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3333333333315556e-12,2.8571428571346942e-12,750,350,0,1529275
1.790510295430993e-12,"{'window_step': 1, 'shingle_size': 6, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3037809647962143e-12,2.8571428571346942e-12,767,350,0,1529258
1.8132366273765853e-12,"{'window_step': 2, 'shingle_size': 6, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3280212483382098e-12,2.8571428571346942e-12,753,350,0,1529272
0.0036529680383494923,"{'window_step': 5, 'shingle_size': 6, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0026845637597279403,0.005714285717126531,743,348,2,1529282
1.78094390026397e-12,"{'window_step': 3, 'shingle_size': 6, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.2936610608003964e-12,2.8571428571346942e-12,773,350,0,1529252
0.0035304501341508732,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.002554278417621259,0.005714285717126531,781,348,2,1529244
1.901140684407032e-12,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.4245014244993954e-12,2.8571428571346942e-12,702,350,0,1529323
0.0018066847353174224,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.001321003964331148,0.002857142859991837,756,349,1,1529269
0.0019011406863081728,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.001424501425923897,0.002857142859991837,701,349,1,1529324
1.793721973090953e-12,"{'window_step': 8, 'shingle_size': 6, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3071895424819515e-12,2.8571428571346942e-12,765,350,0,1529260
1.7841213202465941e-12,"{'window_step': 3, 'shingle_size': 7, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.2970168612175137e-12,2.8571428571346942e-12,771,350,0,1529254
1.8050541516212904e-12,"{'window_step': 2, 'shingle_size': 7, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.3192612137185763e-12,2.8571428571346942e-12,758,350,0,1529267
0.0018467220701720286,"{'window_step': 5, 'shingle_size': 7, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.0013642564815806765,0.002857142859991837,732,349,1,1529293
0.0017953321382373512,"{'window_step': 1, 'shingle_size': 7, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",0.001308900524867397,0.002857142859991837,763,349,1,1529262
1.7452006980772335e-12,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.2562814070335977e-12,2.8571428571346942e-12,796,350,0,1529229
1.7714791851164366e-12,"{'window_step': 8, 'shingle_size': 7, 'n_hash': 100, 'n_bands': 10, 'K': 20000}",1.283697047495143e-12,2.8571428571346942e-12,779,350,0,1529246
0.0017953321382373512,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.001308900524867397,0.002857142859991837,763,349,1,1529262
0.0017825311960752543,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.0012953367888584259,0.002857142859991837,771,349,1,1529254
0.0017605633820391544,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.001272264632313903,0.002857142859991837,785,349,1,1529240
0.0018399264047804238,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.001356852104475771,0.002857142859991837,736,349,1,1529289
0.001740644040031783,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.00125156445681946,0.002857142859991837,798,349,1,1529227
1.833180568282616e-12,"{'window_step': 2, 'shingle_size': 5, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.349527665315318e-12,2.8571428571346942e-12,741,350,0,1529284
0.0017331022547630273,"{'window_step': 1, 'shingle_size': 5, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.0012437810957695973,0.002857142859991837,803,349,1,1529222
1.754385964909203e-12,"{'window_step': 3, 'shingle_size': 5, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.2658227848085243e-12,2.8571428571346942e-12,790,350,0,1529235
0.0017825311960752543,"{'window_step': 5, 'shingle_size': 5, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.0012953367888584259,0.002857142859991837,771,349,1,1529254
1.736111111108097e-12,"{'window_step': 8, 'shingle_size': 5, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.2468827930159017e-12,2.8571428571346942e-12,802,350,0,1529223
0.0018231540583376058,"{'window_step': 1, 'shingle_size': 6, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.0013386880870129335,0.002857142859991837,746,349,1,1529279
1.8066847335107378e-12,"{'window_step': 2, 'shingle_size': 6, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.321003963010144e-12,2.8571428571346942e-12,757,350,0,1529268
1.809954751127946e-12,"{'window_step': 3, 'shingle_size': 6, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.324503311256524e-12,2.8571428571346942e-12,755,350,0,1529270
1.8165304268813506e-12,"{'window_step': 5, 'shingle_size': 6, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",1.3315579227678675e-12,2.8571428571346942e-12,751,350,0,1529274
0.0018552875714251294,"{'window_step': 8, 'shingle_size': 6, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.0013736263749981133,0.002857142859991837,727,349,1,1529298
1.7436791630309615e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 200, 'n_bands': 10, 'K': 20000}",1.2547051442895175e-12,2.8571428571346942e-12,797,350,0,1529228
0.0018181818199966943,"{'window_step': 1, 'shingle_size': 7, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.001333333334664889,0.002857142859991837,749,349,1,1529276
0.001831501833329979,"{'window_step': 2, 'shingle_size': 7, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.0013477088962245989,0.002857142859991837,741,349,1,1529284
1.7574692442851365e-12,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 200, 'n_bands': 10, 'K': 20000}",1.2690355329933135e-12,2.8571428571346942e-12,788,350,0,1529237
0.001751313486862082,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 200, 'n_bands': 10, 'K': 20000}",0.0012626262638872948,0.002857142859991837,791,349,1,1529234
0.0017841213220307153,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 200, 'n_bands': 10, 'K': 20000}",0.0012970168625145305,0.002857142859991837,770,349,1,1529255
0.0018099547529379005,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 200, 'n_bands': 10, 'K': 20000}",0.0013245033125810273,0.002857142859991837,754,349,1,1529271
0.0068846815851860855,"{'window_step': 3, 'shingle_size': 7, 'n_hash': 150, 'n_bands': 10, 'K': 20000}",0.004926108375609697,0.01142857143139592,808,346,4,1529217
