f1,params,precision,recall,false_positives,false_negatives,true_positives,true_negatives
0.007722007725838913,"{'window_step': 8, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.011904761910643425,0.005714285717126531,166,348,2,244134
0.0038834951494994816,"{'window_step': 3, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.0060606060666299364,0.002857142859991837,164,349,1,244136
4.040404040387716e-12,"{'window_step': 5, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.8965517240903694e-12,2.8571428571346942e-12,145,350,0,244155
0.0077519379883420475,"{'window_step': 2, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.012048192777035855,0.005714285717126531,164,348,2,244136
3.9682539682382214e-12,"{'window_step': 1, 'shingle_size': 2, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.493506493464329e-12,2.8571428571346942e-12,154,350,0,244146
4.056795131829385e-12,"{'window_step': 8, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.993006992958092e-12,2.8571428571346942e-12,143,350,0,244157
3.952569169944852e-12,"{'window_step': 3, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.41025641021532e-12,2.8571428571346942e-12,156,350,0,244144
3.9682539682382214e-12,"{'window_step': 2, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.493506493464329e-12,2.8571428571346942e-12,154,350,0,244146
0.003861003864849958,"{'window_step': 5, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.005952380958297903,0.002857142859991837,167,349,1,244133
0.003960396043548672,"{'window_step': 1, 'shingle_size': 3, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",0.006451612909635797,0.002857142859991837,154,349,1,244146
4.0080160320480646e-12,"{'window_step': 3, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.7114093959281126e-12,2.8571428571346942e-12,149,350,0,244151
4.024144869199099e-12,"{'window_step': 2, 'shingle_size': 5, 'n_hash': 50, 'n_bands': 10, 'K': 20000}",6.802721088389098e-12,2.8571428571346942e-12,147,350,0,244153
